gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000163655.16	GMPS	217	636.03	404	497.449	1553.999	493.313
ENSG00000163659.13	TIPARP	248	309	927	540.001	957	336
ENSG00000163660.12	CCNL1	366.001	1119	1071.999	3132.999	1930	942.999
ENSG00000163661.4	PTX3	11	1	23	3	20	4
ENSG00000163666.10	HESX1	0	8	10	5	4	3
ENSG00000163673.8	DCLK3	4	1	2	1	12	3
ENSG00000163681.17	SLMAP	337.999	334	257	155.001	741	425.999
ENSG00000163682.17	RPL9	1301.62	2189.903	3452.546	4402.345	3384.716	3226.082
ENSG00000163683.12	SMIM14	154	313.419	341.973	257	242.215	331
ENSG00000163684.12	RPP14	78.803	152.318	41.789	95.001	222.562	117.411
ENSG00000163686.15	ABHD6	21	59	55	28	205	17
ENSG00000163687.14	DNASE1L3	8	89	20	118	36	42.001
ENSG00000163689.21	CFAP20DC	93.438	12	5	8	199	0
ENSG00000163694.15	RBM47	208	323.999	358	134	316	751.001
ENSG00000163697.18	APBB2	357	161	231.001	58	619.999	172
ENSG00000163701.19	IL17RE	41	39	7	63	42.001	59.999
ENSG00000163702.21	IL17RC	56.357	114.16	65	122.804	76.782	59.182
ENSG00000163703.20	CRELD1	15.961	109.708	163	142.911	52.697	61.697
ENSG00000163704.13	PRRT3	3	27	11.603	17.342	13.127	17.556
ENSG00000163705.13	FANCD2OS	0	1	1	1	0	0
ENSG00000163710.9	PCOLCE2	3	0	76	33	234	2
ENSG00000163714.18	U2SURP	466	976.999	442.999	2214	2175.993	1247
ENSG00000163719.20	MTMR14	72	192	272.001	226.999	169	132
ENSG00000163728.11	TTC14	176	294.001	422	478	531.999	168.001
ENSG00000163734.4	CXCL3	70.444	24.296	19.993	20	1352.954	24.072
ENSG00000163735.7	CXCL5	126.766	16.057	2.025	2.034	967.246	143.108
ENSG00000163736.5	PPBP	16	0	0	0	7	0
ENSG00000163737.5	PF4	0	0	0	0	0	2
ENSG00000163738.19	MTHFD2L	86.999	25	27.001	42	274	82
ENSG00000163739.5	CXCL1	310.823	194.453	6.099	34.653	12671.761	2064.354
ENSG00000163743.14	RCHY1	62	127	103	73	135.999	148.999
ENSG00000163746.13	PLSCR2	0	0	0	0	0	2
ENSG00000163749.18	CCDC158	0	0	1	1	0	4
ENSG00000163751.4	CPA3	10	403	387	6	63	23
ENSG00000163754.18	GYG1	79.999	335	284	136	768.001	239
ENSG00000163755.9	HPS3	48	303	343.999	235.999	522	252
ENSG00000163762.7	TM4SF18	44	38	48	5	45	27
ENSG00000163781.14	TOPBP1	310	547	276.001	779	1215.001	586
ENSG00000163785.14	RYK	204	373.001	246.999	401	1023.921	484
ENSG00000163788.14	SNRK	305	315	260	149	381	136
ENSG00000163792.6	TCF23	0	0	3	0	1	1
ENSG00000163793.13	DNAJC5G	0	0	0	0	0	0
ENSG00000163794.6	UCN	0	6	2	10	0	8
ENSG00000163795.14	ZNF513	29	108	84	165	99	127
ENSG00000163798.14	SLC4A1AP	121	201	184	143	500.001	382
ENSG00000163803.13	PLB1	7	13	44	3	16	10
ENSG00000163806.16	SPDYA	0	1.204	1.206	15.576	0	4.042
ENSG00000163807.6	KIAA1143	120.66	268.716	176	136.952	279.434	216.385
ENSG00000163808.17	KIF15	68	121	44	144.001	375	116
ENSG00000163810.13	TGM4	4	0	0	0	1	0
ENSG00000163811.12	WDR43	209	202	198	144	1151	452.899
ENSG00000163812.16	ZDHHC3	311.001	312	426.999	408	819.999	330
ENSG00000163814.8	CDCP1	699	314	189	162	3315	379
ENSG00000163815.6	CLEC3B	0	39	115	16	23	33
ENSG00000163817.17	SLC6A20	23	0	4	0	20	0
ENSG00000163818.20	LZTFL1	48.001	143	88	88	87	118
ENSG00000163820.16	FYCO1	109	268	221	172	301	197
ENSG00000163823.4	CCR1	38	247	567	22	239	35
ENSG00000163825.5	RTP3	0	0	0	13	5.724	0
ENSG00000163827.14	LRRC2	1	15	9	4	0	0
ENSG00000163832.16	ELP6	50.001	87	74	66	178	65
ENSG00000163833.8	FBXO40	0	4	1	0	0	0
ENSG00000163840.10	DTX3L	137	1843	524	634	1288	587
ENSG00000163848.21	ZNF148	107	292	211	286	615	303.999
ENSG00000163864.18	NMNAT3	4.162	70.386	32	175	67.139	43
ENSG00000163866.9	SMIM12	124.001	142.187	151	98	334.005	202
ENSG00000163867.17	ZMYM6	87.588	172.297	153.371	189.709	210.828	150.966
ENSG00000163870.16	TPRA1	41	146	161.001	197	183	191.001
ENSG00000163872.16	YEATS2	306	377.999	413	595.999	992	386.999
ENSG00000163873.10	GRIK3	0	1	1	2	1	0
ENSG00000163874.11	ZC3H12A	199.001	257.001	248	671.001	1142.001	417
ENSG00000163875.16	MEAF6	95	263.999	246	264	471	473
ENSG00000163877.11	SNIP1	99.74	100	73	93.027	217.927	205.695
ENSG00000163879.11	DNALI1	0	4	19	5	5	3
ENSG00000163882.10	POLR2H	191.001	280	207.999	540.999	621.001	274.001
ENSG00000163884.4	KLF15	0	7	16	9	1	7
ENSG00000163885.12	CFAP100	0	0	0	0	0	0
ENSG00000163888.4	CAMK2N2	2	30	5	8	53	12
ENSG00000163898.10	LIPH	150	13	8	86	16	196.999
ENSG00000163900.11	TMEM41A	238	206	143	185.999	560	330
ENSG00000163902.12	RPN1	591	1546	1285	1339	3098	1416
ENSG00000163904.13	SENP2	318	289.999	153	334	509	379.924
ENSG00000163909.8	HEYL	64	18	64	9	63	15
ENSG00000163913.14	IFT122	38.845	192.45	150.869	212.407	179.25	197.208
ENSG00000163914.5	RHO	0	0	0	2	0	0
ENSG00000163915.7	IGF2BP2-AS1	1	0	0	2	3	0
ENSG00000163918.12	RFC4	181	354.001	138	735.001	731.001	290
ENSG00000163923.10	RPL39L	60.662	104.761	42.369	77.452	345.073	122.498
ENSG00000163930.10	BAP1	313	397	302	294.999	755.999	528.999
ENSG00000163931.17	TKT	628.001	724	1687	661.999	1372.999	704
ENSG00000163932.16	PRKCD	95	438	503	221	332.001	130
ENSG00000163933.11	RFT1	99.999	114.001	90.999	70.001	307.805	139
